movieId,userId,name,rating,timestamp
2294,1,Omar Huffman,2.0,1260759108
2455,1,Omar Huffman,2.5,1260759113
2968,1,Omar Huffman,1.0,1260759200
3671,1,Omar Huffman,3.0,1260759117
1953,1,Omar Huffman,4.0,1260759191
2105,1,Omar Huffman,4.0,1260759139
2150,1,Omar Huffman,3.0,1260759194
2193,1,Omar Huffman,2.0,1260759198
1061,1,Omar Huffman,3.0,1260759182
1129,1,Omar Huffman,2.0,1260759185
31,1,Omar Huffman,2.5,1260759144
1029,1,Omar Huffman,3.0,1260759179
1287,1,Omar Huffman,2.0,1260759187
1293,1,Omar Huffman,2.0,1260759148
1172,1,Omar Huffman,4.0,1260759205
1263,1,Omar Huffman,2.0,1260759151
1371,1,Omar Huffman,2.5,1260759135
1405,1,Omar Huffman,1.0,1260759203
1339,1,Omar Huffman,3.5,1260759125
1343,1,Omar Huffman,2.0,1260759131
248,2,Mr. Jason Love,3.0,835355896
235,2,Mr. Jason Love,3.0,835355664
261,2,Mr. Jason Love,4.0,835355681
253,2,Mr. Jason Love,4.0,835355511
222,2,Mr. Jason Love,5.0,835355840
208,2,Mr. Jason Love,3.0,835355511
225,2,Mr. Jason Love,3.0,835355552
223,2,Mr. Jason Love,1.0,835355749
168,2,Mr. Jason Love,3.0,835355710
165,2,Mr. Jason Love,3.0,835355441
186,2,Mr. Jason Love,3.0,835355664
185,2,Mr. Jason Love,3.0,835355511
150,2,Mr. Jason Love,5.0,835355395
144,2,Mr. Jason Love,3.0,835356016
161,2,Mr. Jason Love,3.0,835355493
153,2,Mr. Jason Love,4.0,835355441
50,2,Mr. Jason Love,4.0,835355586
52,2,Mr. Jason Love,3.0,835356031
62,2,Mr. Jason Love,3.0,835355749
110,2,Mr. Jason Love,4.0,835355532
10,2,Mr. Jason Love,4.0,835355493
17,2,Mr. Jason Love,5.0,835355681
39,2,Mr. Jason Love,5.0,835355604
47,2,Mr. Jason Love,4.0,835355552
500,2,Mr. Jason Love,4.0,835355731
497,2,Mr. Jason Love,3.0,835355880
551,2,Mr. Jason Love,5.0,835355767
550,2,Mr. Jason Love,3.0,835356109
539,2,Mr. Jason Love,3.0,835355767
537,2,Mr. Jason Love,4.0,835356199
527,2,Mr. Jason Love,4.0,835355731
515,2,Mr. Jason Love,4.0,835355817
509,2,Mr. Jason Love,4.0,835355719
508,2,Mr. Jason Love,4.0,835355860
592,2,Mr. Jason Love,5.0,835355395
590,2,Mr. Jason Love,5.0,835355395
589,2,Mr. Jason Love,5.0,835355697
588,2,Mr. Jason Love,3.0,835355441
587,2,Mr. Jason Love,3.0,835355779
586,2,Mr. Jason Love,3.0,835355790
585,2,Mr. Jason Love,5.0,835355817
552,2,Mr. Jason Love,3.0,835355860
661,2,Mr. Jason Love,4.0,835356141
720,2,Mr. Jason Love,4.0,835355978
593,2,Mr. Jason Love,3.0,835355511
616,2,Mr. Jason Love,3.0,835355932
266,2,Mr. Jason Love,5.0,835355586
265,2,Mr. Jason Love,5.0,835355697
273,2,Mr. Jason Love,4.0,835355779
272,2,Mr. Jason Love,3.0,835355767
296,2,Mr. Jason Love,4.0,835355395
292,2,Mr. Jason Love,3.0,835355492
314,2,Mr. Jason Love,4.0,835356044
300,2,Mr. Jason Love,3.0,835355532
319,2,Mr. Jason Love,1.0,835355918
317,2,Mr. Jason Love,2.0,835355551
349,2,Mr. Jason Love,4.0,835355441
339,2,Mr. Jason Love,3.0,835355492
356,2,Mr. Jason Love,3.0,835355628
350,2,Mr. Jason Love,4.0,835355697
364,2,Mr. Jason Love,3.0,835355604
357,2,Mr. Jason Love,3.0,835355749
367,2,Mr. Jason Love,3.0,835355619
370,2,Mr. Jason Love,2.0,835355932
371,2,Mr. Jason Love,3.0,835355968
372,2,Mr. Jason Love,3.0,835356094
377,2,Mr. Jason Love,3.0,835355710
382,2,Mr. Jason Love,3.0,835356165
405,2,Mr. Jason Love,2.0,835356246
